".rownames","EmploymentStatus.fctr","EmploymentStatus.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart","EmploymentStatus.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.prob","EmploymentStatus.fctr.predict.Max.cor.Y.cv.0.cp.0.rpart.accurate"
"92148","Not.in.Labor.Force","Not.in.Labor.Force",0.0725902419674733,TRUE
"90744","Employed","Employed",0.000709471443774388,TRUE
"91765","Employed","Employed",0.000458295142071494,TRUE
"91833","Employed","Employed",0.000887836638058597,TRUE
"91554","Not.in.Labor.Force","Not.in.Labor.Force",0.204231311706629,TRUE
"91515","Retired","Retired",0.0438119292791918,TRUE
"92166","Employed","Employed",0.000887836638058597,TRUE
"93264","Employed","Employed",0.0012799414883891,TRUE
"92183","Employed","Employed",0.0012799414883891,TRUE
"91558","Employed","Employed",0.000709471443774388,TRUE
"91557","Employed","Employed",0.000709471443774388,TRUE
"91992","Employed","Employed",0.0012799414883891,TRUE
"92239","Retired","Retired",0.0438119292791918,TRUE
"92997","Not.in.Labor.Force","Retired",0.253397282174261,FALSE
"93053","Employed","Employed",0.000887836638058597,TRUE
"93332","Employed","Employed",0.000887836638058597,TRUE
"34845","Employed","Employed",0.000458295142071494,TRUE
"91615","Employed","Employed",0.00221729490022173,TRUE
"91760","Retired","Retired",0.0438119292791918,TRUE
"34967","Not.in.Labor.Force","Not.in.Labor.Force",0.0153335037055967,TRUE
"34846","Employed","Employed",0.000533760341606619,TRUE
"92940","Employed","Employed",0.000709471443774388,TRUE
"90780","Not.in.Labor.Force","Not.in.Labor.Force",0.0725902419674733,TRUE
"35180","Employed","Employed",0.000533760341606619,TRUE
"93434","Employed","Employed",0,TRUE
"93112","Retired","Not.in.Labor.Force",0.0725902419674733,FALSE
"91933","Employed","Employed",0.0012799414883891,TRUE
"85038","Employed","Employed",0,TRUE
"85212","Disabled","Employed",0,FALSE
"91561","Employed","Employed",0.000887836638058597,TRUE
"81103","Employed","Employed",0.0006426735218509,TRUE
"92189","Disabled","Not.in.Labor.Force",0.204231311706629,FALSE
"91243","Employed","Employed",0.00277008310249307,TRUE
"83501","Employed","Employed",0.000887836638058597,TRUE
"93060","Employed","Employed",0.0012799414883891,TRUE
"92436","Employed","Employed",0.000887836638058597,TRUE
"92104","Employed","Employed",0.000887836638058597,TRUE
"35160","Employed","Employed",0.000533760341606619,TRUE
"84156","Not.in.Labor.Force","Not.in.Labor.Force",0.0725902419674733,TRUE
"35042","Employed","Employed",0.000504032258064516,TRUE
"85328","Employed","Employed",0.000887836638058597,TRUE
"84529","Employed","Employed",0.000504032258064516,TRUE
"83826","Retired","Retired",0.0438119292791918,TRUE
